,alpha Estimate,Beta Estimate,alpha Std. Error,Beta Estimate Std. Error,alpha p-value,beta p-value
242,0.00012873,0.001842614,7.42E-06,0.000294075,2.98E-59,5.49E-10
243,0.000128871,0.001838917,7.40E-06,0.000293368,1.32E-59,5.40E-10
244,0.000128896,0.001832791,7.38E-06,0.000292758,7.73E-60,5.67E-10
245,0.000128804,0.001824861,7.37E-06,0.0002922,5.83E-60,6.23E-10
246,0.000128645,0.001815737,7.36E-06,0.000291732,5.35E-60,7.10E-10
247,0.00012841,0.001803109,7.35E-06,0.00029135,6.04E-60,8.81E-10
248,0.000128089,0.001783438,7.34E-06,0.000291036,8.45E-60,1.28E-09
249,0.000127666,0.001761337,7.33E-06,0.000290737,1.44E-59,1.94E-09
250,0.000127214,0.001740985,7.33E-06,0.000290473,2.67E-59,2.85E-09
251,0.00012683,0.001722542,7.32E-06,0.000290194,4.31E-59,4.02E-09
252,0.000126422,0.001703043,7.31E-06,0.000289961,7.54E-59,5.80E-09
253,0.000125836,0.001680527,7.31E-06,0.000289888,2.08E-58,9.02E-09
254,0.000125094,0.001659226,7.31E-06,0.000289841,7.74E-58,1.37E-08
255,0.00012428,0.001640682,7.31E-06,0.000289888,3.52E-57,1.98E-08
256,0.000123283,0.00162398,7.31E-06,0.000290034,2.40E-56,2.77E-08
257,0.00012221,0.001602894,7.32E-06,0.00029032,2.05E-55,4.28E-08
258,0.000121113,0.001580109,7.33E-06,0.000290629,1.83E-54,6.80E-08
259,0.000119959,0.001555987,7.33E-06,0.000290846,1.67E-53,1.09E-07
260,0.00011896,0.00153596,7.34E-06,0.000290975,1.07E-52,1.59E-07
261,0.000118059,0.001513322,7.34E-06,0.000290921,4.99E-52,2.39E-07
262,0.000117465,0.001491284,7.33E-06,0.000290793,1.29E-51,3.50E-07
263,0.000117121,0.001468801,7.32E-06,0.000290448,1.84E-51,5.06E-07
264,0.000117108,0.001449743,7.31E-06,0.00028986,1.24E-51,6.71E-07
265,0.000117338,0.001435436,7.29E-06,0.000289135,4.95E-52,8.08E-07
266,0.000117668,0.001427982,7.27E-06,0.000288376,1.60E-52,8.62E-07
267,0.000117979,0.001420867,7.25E-06,0.000287595,5.21E-53,9.12E-07
268,0.000118232,0.001414307,7.23E-06,0.000286811,1.87E-53,9.56E-07
269,0.000118454,0.001404832,7.22E-06,0.000286121,7.50E-54,1.06E-06
270,0.000118669,0.001394909,7.20E-06,0.000285504,3.21E-54,1.20E-06
271,0.000118685,0.001380552,7.19E-06,0.000284914,1.99E-54,1.46E-06
272,0.000118543,0.001363349,7.17E-06,0.000284378,1.72E-54,1.88E-06
273,0.000118394,0.001346805,7.16E-06,0.000283877,1.54E-54,2.39E-06
274,0.000118306,0.001332922,7.15E-06,0.000283324,1.19E-54,2.90E-06
275,0.000118241,0.001318109,7.13E-06,0.000282737,8.54E-55,3.55E-06
276,0.000118243,0.001303605,7.11E-06,0.000282011,4.87E-55,4.28E-06
277,0.00011837,0.001289738,7.09E-06,0.000281192,2.04E-55,5.07E-06
278,0.000118579,0.001275113,7.07E-06,0.000280378,7.32E-56,6.08E-06
279,0.000118811,0.001261211,7.05E-06,0.000279522,2.41E-56,7.18E-06
